movie_companies.id,movie_companies.movie_id,movie_companies.company_id,movie_companies.company_type_id,movie_companies.note
1045,3605,204,1,(2015) (USA) (TV) (presents)
1050,3609,204,1,(2015) (USA) (all media) (presents)
1052,3612,204,1,(2015) (USA) (all media) (presents)
1056,3614,204,1,(2015) (USA) (all media) (presents)
1058,3615,204,1,(2015) (USA) (TV) (presents)
1060,3617,204,1,(2015) (USA) (all media) (presents)
1062,3618,204,1,(2015) (USA) (all media) (presents)
1064,3619,204,1,(2015) (USA) (all media) (presents)
150654,650201,7804,1,(2015) (USA) (all media) (presents)
50408,229676,4006,1,(2014) (India) (TV) (presents)
73801,329368,5189,1,(2014) (USA) (video) (presents)
73802,329369,5187,1,(2014) (UK) (all media) (presents)
198802,904583,1347,1,(2015) (USA) (all media) (co-production)
160782,683676,8082,1,(2014) (India) (video) (presents)
223310,992889,1113,1,(2015) (worldwide) (all media) (presents)
271523,1211055,11410,1,(2015) (USA) (all media) (presents)
238236,1078079,10517,1,(2015) (USA) (video) (presents)
273813,1223580,3882,1,(2007-) (France) (DVD) (presents) (original subtitled version) (dubbed censored version)
273117,1223461,3882,1,(2007-) (France) (DVD) (presents) (original subtitled version) (dubbed censored version)
299608,1324878,12164,1,(2014) (worldwide) (video) (presents)
369432,1672407,13913,1,(2008) (USA) (all media) (presents)
369444,1672414,13916,1,(2013) (USA) (all media) (presents)
369446,1672416,13918,1,(2008) (USA) (all media) (presents)
369448,1672417,13919,1,(2011) (USA) (all media) (presents)
369433,1672408,13914,1,(2011) (USA) (all media) (presents)
369436,1672409,13912,1,(2012) (USA) (all media) (presents)
369437,1672410,13912,1,(2013) (USA) (all media) (presents)
369439,1672411,13917,1,(2012) (USA) (all media) (presents)
490212,2250856,4425,1,(2011) (USA) (TV) (presents)
483767,2229470,2549,1,(2011) (worldwide) (all media) (presents)
532922,2452661,960,1,(2015) (UK) (TV) (presents)
518128,2393201,17312,1,(2006) (Japan) (TV) (presents)
562659,2575829,15049,1,(2014) (Colombia) (all media) (co-production)
540879,2491275,8498,1,(2012) (worldwide) (all media) (presents)
756369,3284557,22611,1,(1952) (UK) (theatrical) (presents) (as Eros Films Ltd)
564467,2584167,18197,1,(????) (worldwide) (all media) (presents)
592154,2677068,18633,1,(2013) (France) (TV) (presents)
751899,3279658,21216,1,(2014) (worldwide) (all media) (presents)
772583,3302686,22611,1,(1958) (UK) (theatrical) (presents) (as Eros Films Ltd)
756620,3284751,22666,1,(2012) (worldwide) (all media) (presents)
762761,3291429,1469,1,"(1940) (USA) (theatrical) (presents) (as Warner Bros. Pictures, Inc.)"
767141,3296575,1469,1,(1956) (USA) (theatrical) (presents)
764685,3293474,24383,1,(2015) (USA) (theatrical) (presents)
771628,3301586,2531,1,(????) (USA) (TV) (presents) (as RHI Entertainment Inc.)
774433,3305010,1469,1,(1957) (USA) (theatrical) (presents) (as Warner Bros. Pictures)
779985,3311613,18257,1,(1966) (UK) (theatrical) (presents)
776902,3307846,26791,1,(1948) (UK) (theatrical) (presents) (as Monarch Film Corporation Ltd.)
778274,3309428,26979,1,"(1973) (USA) (theatrical) (presents) (as Classic Entertainment, Inc.)"
788428,3321762,22611,1,(1956) (UK) (theatrical) (presents) (as Eros Films Ltd)
783860,3316228,27260,1,(1962) (UK) (theatrical) (presents) (as Bryanston) (as A British Lion-Bryanston Release through BLC also)
785930,3318831,5545,1,(2009) (USA) (all media) (presents)
786235,3319202,3044,1,(1924) (USA) (theatrical) (re-release) (edited) (presents) (as Universal)
787690,3320913,27260,1,(1961) (UK) (theatrical) (presents) (as Bryanston) (as a british lion-bryanston release through BLC also)
781912,3314277,2979,1,(1999) (USA) (all media) (presents)
783417,3315656,27260,1,(1963) (UK) (theatrical) (presents) (as Bryanston) (as A British Lion - Bryanston Release through BLC also)
